Dataset,Selector,Accuracy,F1_Score,AUROC,Selected_Features,Runtime_Seconds,Selected_Genes
BRCA,Filter_SelectKBest,0.8024691358024691,0.8054667380467758,0.9531474054483596,50,2.8610708713531494,ENSG00000013297.12;ENSG00000054598.9;ENSG00000073282.14;ENSG00000080986.13;ENSG00000085840.13;ENSG00000093009.11;ENSG00000100139.13;ENSG00000111206.13;ENSG00000111665.12;ENSG00000112984.12;ENSG00000115163.15;ENSG00000117399.14;ENSG00000119866.22;ENSG00000123485.12;ENSG00000129195.16;ENSG00000129514.8;ENSG00000130176.8;ENSG00000134690.11;ENSG00000136158.12;ENSG00000142945.13;ENSG00000143401.15;ENSG00000144354.14;ENSG00000145777.15;ENSG00000148468.17;ENSG00000149090.12;ENSG00000149575.9;ENSG00000154263.17;ENSG00000154548.9;ENSG00000157456.8;ENSG00000163431.13;ENSG00000164007.11;ENSG00000164045.12;ENSG00000165197.5;ENSG00000165304.8;ENSG00000166851.15;ENSG00000177098.9;ENSG00000178999.13;ENSG00000182175.14;ENSG00000182463.16;ENSG00000183943.6;ENSG00000184384.14;ENSG00000213064.10;ENSG00000226005.5;ENSG00000237649.8;ENSG00000241684.6;ENSG00000249669.10;ENSG00000271936.1;ENSG00000276365.1;ENSG00000285051.2;ENSG00000286289.1
BRCA,Wrapper_RFE,0.8106995884773662,0.8082049224478418,0.9344140753042103,50,175.74885177612305,ENSG00000011465.18;ENSG00000022267.19;ENSG00000070756.17;ENSG00000074410.14;ENSG00000074800.16;ENSG00000075624.17;ENSG00000087460.27;ENSG00000091831.24;ENSG00000094755.17;ENSG00000100219.16;ENSG00000100316.16;ENSG00000100345.22;ENSG00000102316.17;ENSG00000104332.12;ENSG00000106541.12;ENSG00000107485.18;ENSG00000110484.7;ENSG00000111341.10;ENSG00000111640.15;ENSG00000120738.8;ENSG00000124942.14;ENSG00000126709.15;ENSG00000135821.19;ENSG00000137154.13;ENSG00000138326.21;ENSG00000138449.11;ENSG00000139644.13;ENSG00000141424.13;ENSG00000141736.14;ENSG00000142192.21;ENSG00000142541.18;ENSG00000151914.20;ENSG00000153002.12;ENSG00000159763.4;ENSG00000164692.18;ENSG00000169710.9;ENSG00000170421.12;ENSG00000171345.13;ENSG00000175356.14;ENSG00000175899.15;ENSG00000181617.6;ENSG00000186081.12;ENSG00000186847.6;ENSG00000196230.13;ENSG00000196924.19;ENSG00000198712.1;ENSG00000198727.2;ENSG00000205542.11;ENSG00000211895.5;ENSG00000272398.6
BRCA,Embedded_XGBoost,0.8148148148148148,0.8148994512996693,0.9570760966203705,50,179.0404393672943,ENSG00000002919.15;ENSG00000006625.18;ENSG00000067445.21;ENSG00000074410.14;ENSG00000077152.11;ENSG00000077327.16;ENSG00000084444.14;ENSG00000089685.15;ENSG00000090530.10;ENSG00000091831.24;ENSG00000093009.11;ENSG00000095637.22;ENSG00000101057.16;ENSG00000103257.9;ENSG00000104332.12;ENSG00000106610.15;ENSG00000107485.18;ENSG00000114805.18;ENSG00000115648.14;ENSG00000116906.13;ENSG00000117650.13;ENSG00000120262.10;ENSG00000129810.15;ENSG00000133392.18;ENSG00000135476.12;ENSG00000141736.14;ENSG00000142025.16;ENSG00000142619.4;ENSG00000149090.12;ENSG00000153165.19;ENSG00000159346.13;ENSG00000160180.15;ENSG00000162814.11;ENSG00000164056.11;ENSG00000164128.7;ENSG00000171428.15;ENSG00000175287.19;ENSG00000181788.4;ENSG00000186081.12;ENSG00000186847.6;ENSG00000197927.13;ENSG00000198885.10;ENSG00000206113.11;ENSG00000237529.2;ENSG00000248359.2;ENSG00000248360.7;ENSG00000261226.1;ENSG00000269113.4;ENSG00000280916.2;ENSG00000285051.2
COAD,Filter_SelectKBest,0.7162162162162162,0.7125901267518197,0.8704279279279279,50,1.7583918571472168,ENSG00000000003.15;ENSG00000025708.14;ENSG00000041353.10;ENSG00000057468.7;ENSG00000076242.16;ENSG00000106541.12;ENSG00000108375.13;ENSG00000112414.15;ENSG00000115523.17;ENSG00000120875.9;ENSG00000124257.6;ENSG00000125498.20;ENSG00000125991.20;ENSG00000128203.7;ENSG00000131015.5;ENSG00000131067.17;ENSG00000132801.7;ENSG00000134545.14;ENSG00000144214.10;ENSG00000145649.8;ENSG00000146054.18;ENSG00000147459.18;ENSG00000162676.12;ENSG00000163584.18;ENSG00000167034.10;ENSG00000172315.6;ENSG00000173083.15;ENSG00000178458.5;ENSG00000179148.10;ENSG00000183734.4;ENSG00000189013.14;ENSG00000196352.16;ENSG00000199509.1;ENSG00000203288.4;ENSG00000225605.3;ENSG00000226102.3;ENSG00000231503.4;ENSG00000234213.1;ENSG00000239572.3;ENSG00000241756.3;ENSG00000242372.9;ENSG00000248278.1;ENSG00000248286.1;ENSG00000248426.1;ENSG00000249700.9;ENSG00000274584.1;ENSG00000280623.1;ENSG00000283659.1;ENSG00000286297.1;ENSG00000287471.1
COAD,Wrapper_RFE,0.6621621621621622,0.6777531874306068,0.7730798971060101,50,67.16611695289612,ENSG00000007306.15;ENSG00000016490.16;ENSG00000019582.15;ENSG00000070756.17;ENSG00000074800.16;ENSG00000075624.17;ENSG00000080824.19;ENSG00000086548.9;ENSG00000087086.15;ENSG00000090382.7;ENSG00000091138.13;ENSG00000099194.6;ENSG00000100316.16;ENSG00000102837.7;ENSG00000105388.16;ENSG00000106541.12;ENSG00000108821.14;ENSG00000109971.14;ENSG00000115386.6;ENSG00000117983.17;ENSG00000120708.17;ENSG00000127324.9;ENSG00000134193.15;ENSG00000137154.13;ENSG00000156508.19;ENSG00000160180.15;ENSG00000162896.6;ENSG00000163586.10;ENSG00000164733.22;ENSG00000166165.13;ENSG00000166825.15;ENSG00000169100.14;ENSG00000170421.12;ENSG00000172016.16;ENSG00000184009.12;ENSG00000187908.20;ENSG00000196924.19;ENSG00000197249.14;ENSG00000197956.10;ENSG00000198034.11;ENSG00000198712.1;ENSG00000198788.9;ENSG00000198804.2;ENSG00000198886.2;ENSG00000198938.2;ENSG00000204287.14;ENSG00000210082.2;ENSG00000211892.4;ENSG00000231500.7;ENSG00000275395.6
COAD,Embedded_XGBoost,0.7432432432432432,0.7502468702468701,0.8530065639269407,50,73.81711864471436,ENSG00000067646.12;ENSG00000078114.19;ENSG00000081059.20;ENSG00000101470.10;ENSG00000103485.19;ENSG00000105327.18;ENSG00000105650.22;ENSG00000106526.10;ENSG00000107295.10;ENSG00000108375.13;ENSG00000124164.16;ENSG00000125398.8;ENSG00000131791.8;ENSG00000140274.14;ENSG00000144136.11;ENSG00000145879.11;ENSG00000146411.6;ENSG00000158467.16;ENSG00000164816.8;ENSG00000165269.13;ENSG00000166510.14;ENSG00000168447.11;ENSG00000170835.16;ENSG00000176842.15;ENSG00000178522.14;ENSG00000178896.9;ENSG00000180332.6;ENSG00000187556.7;ENSG00000188175.10;ENSG00000188993.3;ENSG00000197249.14;ENSG00000197971.16;ENSG00000206646.1;ENSG00000213630.3;ENSG00000215063.3;ENSG00000226306.6;ENSG00000226812.2;ENSG00000228509.6;ENSG00000228863.8;ENSG00000231503.4;ENSG00000233554.6;ENSG00000251095.7;ENSG00000253451.1;ENSG00000255545.8;ENSG00000263235.1;ENSG00000265388.2;ENSG00000271267.1;ENSG00000272054.1;ENSG00000275092.1;ENSG00000275395.6
PRAD,Filter_SelectKBest,0.7631578947368421,0.7613826232247285,0.9331975720879645,50,1.9604077339172363,ENSG00000006468.14;ENSG00000049089.15;ENSG00000064886.14;ENSG00000081138.14;ENSG00000086730.17;ENSG00000089177.19;ENSG00000095627.9;ENSG00000099284.15;ENSG00000104783.14;ENSG00000111913.20;ENSG00000112964.14;ENSG00000114279.13;ENSG00000116478.12;ENSG00000133805.15;ENSG00000135299.17;ENSG00000140848.17;ENSG00000142273.13;ENSG00000144331.20;ENSG00000151702.17;ENSG00000157554.19;ENSG00000161905.13;ENSG00000163492.15;ENSG00000165238.16;ENSG00000170745.12;ENSG00000175832.13;ENSG00000177283.7;ENSG00000184640.19;ENSG00000186063.13;ENSG00000187595.16;ENSG00000206792.1;ENSG00000214039.9;ENSG00000224271.7;ENSG00000227482.1;ENSG00000231651.1;ENSG00000240103.2;ENSG00000245008.4;ENSG00000249534.2;ENSG00000250948.1;ENSG00000254126.8;ENSG00000254703.2;ENSG00000256034.1;ENSG00000259721.1;ENSG00000261105.6;ENSG00000262902.1;ENSG00000270578.1;ENSG00000271314.1;ENSG00000272732.1;ENSG00000272894.5;ENSG00000274685.1;ENSG00000278683.1
PRAD,Wrapper_RFE,0.6973684210526315,0.7158786125435078,0.911880369459919,50,205.7589774131775,ENSG00000006468.14;ENSG00000012223.13;ENSG00000014257.16;ENSG00000049089.15;ENSG00000070756.17;ENSG00000075624.17;ENSG00000086205.18;ENSG00000096088.16;ENSG00000102172.16;ENSG00000104419.17;ENSG00000115461.5;ENSG00000116133.13;ENSG00000122585.8;ENSG00000125257.16;ENSG00000127954.13;ENSG00000133112.17;ENSG00000133392.18;ENSG00000135052.16;ENSG00000140526.18;ENSG00000151503.13;ENSG00000156508.19;ENSG00000157554.19;ENSG00000158715.6;ENSG00000159674.12;ENSG00000160180.15;ENSG00000160862.13;ENSG00000163110.15;ENSG00000166710.21;ENSG00000166825.15;ENSG00000167332.9;ENSG00000167658.16;ENSG00000169710.9;ENSG00000175832.13;ENSG00000179593.16;ENSG00000184012.13;ENSG00000185303.17;ENSG00000187244.12;ENSG00000188257.12;ENSG00000196924.19;ENSG00000197746.14;ENSG00000198712.1;ENSG00000198727.2;ENSG00000198763.3;ENSG00000198786.2;ENSG00000198804.2;ENSG00000198938.2;ENSG00000211459.2;ENSG00000229314.5;ENSG00000245532.9;ENSG00000263639.7
PRAD,Embedded_XGBoost,0.868421052631579,0.8626566416040101,0.9624174409868372,50,112.33163166046143,ENSG00000005156.12;ENSG00000006468.14;ENSG00000008128.23;ENSG00000033122.21;ENSG00000071991.9;ENSG00000078018.20;ENSG00000084628.10;ENSG00000101104.13;ENSG00000111291.8;ENSG00000115592.11;ENSG00000123191.16;ENSG00000126226.22;ENSG00000136869.16;ENSG00000153574.9;ENSG00000155495.9;ENSG00000157554.19;ENSG00000162980.17;ENSG00000163492.15;ENSG00000174460.4;ENSG00000175832.13;ENSG00000176532.4;ENSG00000177963.14;ENSG00000181873.13;ENSG00000183960.9;ENSG00000197712.12;ENSG00000204779.2;ENSG00000211654.2;ENSG00000214376.6;ENSG00000214595.12;ENSG00000220749.4;ENSG00000224271.7;ENSG00000227482.1;ENSG00000228238.1;ENSG00000230922.1;ENSG00000231752.6;ENSG00000235033.7;ENSG00000244509.4;ENSG00000249866.1;ENSG00000254703.2;ENSG00000256193.6;ENSG00000261737.1;ENSG00000268379.1;ENSG00000272668.2;ENSG00000272945.1;ENSG00000275945.1;ENSG00000279042.1;ENSG00000279861.1;ENSG00000286921.1;ENSG00000287262.1;ENSG00000287649.1
