Dataset,Selector,Accuracy,F1_Score,Selected_Features,Runtime_Seconds
BRCA,Filter_SelectKBest,0.8641975308641975,0.8620495249793008,50,2.930166006088257
BRCA,Wrapper_RFE,0.8065843621399177,0.8043894643971563,50,234.51004767417908
BRCA,Embedded_XGBoost,0.8600823045267489,0.857121194350719,50,808.1555218696594
COAD,Filter_SelectKBest,0.7567567567567568,0.6929646752015173,50,1.2707905769348145
COAD,Wrapper_RFE,0.7297297297297297,0.7082369218291549,50,135.8862121105194
COAD,Embedded_XGBoost,0.7297297297297297,0.703083853083853,50,74.90663361549377
PRAD,Filter_SelectKBest,0.8157894736842105,0.7990626074991399,50,1.7871880531311035
PRAD,Wrapper_RFE,0.5921052631578947,0.6052163116785976,50,292.37296652793884
PRAD,Embedded_XGBoost,0.75,0.7439776133964842,50,113.66071820259094
